"Provider ID","Measure","Score","Footnote"
"DC","HAI_1_CI_LOWER","0.495",""
"DE","HAI_1_CI_LOWER","0.327",""
"FL","HAI_1_CI_LOWER","0.531",""
"GA","HAI_1_CI_LOWER","0.621",""
"GU","HAI_1_CI_LOWER","Not Available","Results cannot be calculated for this reporting period."
"HI","HAI_1_CI_LOWER","0.128",""
"IA","HAI_1_CI_LOWER","0.377",""
"ID","HAI_1_CI_LOWER","0.154",""
"IL","HAI_1_CI_LOWER","0.453",""
"IN","HAI_1_CI_LOWER","0.563",""
"KS","HAI_1_CI_LOWER","0.324",""
"KY","HAI_1_CI_LOWER","0.593",""
"LA","HAI_1_CI_LOWER","0.653",""
"MA","HAI_1_CI_LOWER","0.368",""
"MD","HAI_1_CI_LOWER","0.450",""
"ME","HAI_1_CI_LOWER","0.570",""
"MI","HAI_1_CI_LOWER","0.376",""
"MN","HAI_1_CI_LOWER","0.361",""
"MO","HAI_1_CI_LOWER","0.369",""
"MP","HAI_1_CI_LOWER","Not Available","Results cannot be calculated for this reporting period."
"MS","HAI_1_CI_LOWER","0.726",""
"MT","HAI_1_CI_LOWER","0.475",""
"NC","HAI_1_CI_LOWER","0.438",""
"ND","HAI_1_CI_LOWER","0.285",""
"NE","HAI_1_CI_LOWER","0.440",""
"NH","HAI_1_CI_LOWER","0.208",""
"NJ","HAI_1_CI_LOWER","0.592",""
"NM","HAI_1_CI_LOWER","0.407",""
"NV","HAI_1_CI_LOWER","0.443",""
"NY","HAI_1_CI_LOWER","0.498",""
"OH","HAI_1_CI_LOWER","0.419",""
"OK","HAI_1_CI_LOWER","0.382",""
"OR","HAI_1_CI_LOWER","0.222",""
"PA","HAI_1_CI_LOWER","0.476",""
"PR","HAI_1_CI_LOWER","0.676",""
"RI","HAI_1_CI_LOWER","0.323",""
"SC","HAI_1_CI_LOWER","0.498",""
"SD","HAI_1_CI_LOWER","0.149",""
"TN","HAI_1_CI_LOWER","0.477",""
"TX","HAI_1_CI_LOWER","0.531",""
"UT","HAI_1_CI_LOWER","0.478",""
"VA","HAI_1_CI_LOWER","0.449",""
"VI","HAI_1_CI_LOWER","1.772",""
"VT","HAI_1_CI_LOWER","0.068",""
"WA","HAI_1_CI_LOWER","0.443",""
